pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_10::time_stretch::-5pct,0.833333,0.999621,0.992196,0.516840,0.000000,0.440043,1.000000,1.000000,0.723474,0.238095,0.975801,0.999953,0.719892,0.666295
folk_10::time_stretch::+5pct,0.833333,0.999442,0.990750,0.692056,0.000000,0.486706,1.000000,1.000000,0.744275,0.333333,0.980119,0.999951,0.748729,0.700468
folk_10::time_stretch::+10pct,0.833333,0.998960,0.981790,0.465043,0.400000,0.440043,1.000000,1.000000,0.638563,0.428571,0.953689,0.999830,0.752669,0.707852
folk_10::time_stretch::+20pct,0.833333,0.995778,0.972168,0.189304,0.125000,0.440043,0.987376,0.840318,0.588893,0.047619,0.935057,0.999681,0.651304,0.588094
folk_10::lowpass::lp8000,1.000000,1.000000,1.000000,1.000000,1.000000,0.898542,1.000000,1.000000,0.999995,1.000000,0.368926,0.973853,0.936633,0.989854
folk_10::lowpass::lp4000,1.000000,0.999915,0.999559,1.000000,1.000000,1.000000,1.000000,1.000000,0.999970,1.000000,0.146692,0.948451,0.924253,0.999928
folk_10::lowpass::lp2000,1.000000,0.999955,0.999837,1.000000,0.933333,0.656117,0.987686,0.840728,0.999248,1.000000,0.000873,0.950239,0.862660,0.940407
folk_10::distortion::drv4,1.000000,0.999618,0.997730,1.000000,1.000000,0.898542,1.000000,1.000000,0.940224,0.809524,0.842132,0.997875,0.955647,0.962790
folk_10::distortion::drv12,1.000000,0.998331,0.993270,0.710493,1.000000,0.801910,1.000000,1.000000,0.841651,0.523810,0.529220,0.991453,0.861838,0.882195
folk_10::distortion::drv32,0.833333,0.997071,0.989529,0.710493,1.000000,0.673358,1.000000,1.000000,0.802436,0.571429,0.345704,0.987900,0.820850,0.851739
folk_10::style_swap::swap_same,0.500000,0.822810,0.814592,0.302314,0.250000,0.440043,1.000000,1.000000,0.287744,0.095238,0.439020,0.982020,0.549325,0.517204
folk_11::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_11::pitch_shift::-4st,0.333333,0.801716,0.701855,0.127378,0.307692,0.440043,1.000000,1.000000,0.778590,0.166667,0.612222,0.997638,0.585440,0.541558
folk_10::style_swap::swap_cross,0.500000,0.962535,0.927731,0.139407,0.285714,0.366736,0.652695,0.033678,0.295816,0.000000,0.132614,0.857730,0.378152,0.355681
folk_11::pitch_shift::-2st,0.666667,0.739963,0.640570,0.038236,0.428571,0.440043,1.000000,1.000000,0.803446,0.333333,0.848093,0.999251,0.638000,0.580871
folk_11::pitch_shift::-1st,0.166667,0.720913,0.502881,0.038236,0.428571,0.440043,1.000000,1.000000,0.839442,0.166667,0.935250,0.999704,0.576733,0.498586
folk_11::pitch_shift::+1st,0.166667,0.731804,0.526840,0.038236,0.428571,0.486706,1.000000,1.000000,0.846499,0.000000,0.930049,0.999494,0.570923,0.492157
folk_11::pitch_shift::+2st,0.666667,0.733083,0.658578,0.127378,0.307692,0.440043,1.000000,1.000000,0.799594,0.166667,0.851191,0.998763,0.622296,0.561768
folk_11::pitch_shift::+4st,0.333333,0.798321,0.687007,0.127378,0.307692,0.440043,0.987753,0.930139,0.746730,0.333333,0.632868,0.996538,0.587641,0.542252
folk_11::time_stretch::-10pct,1.000000,0.990566,0.984296,0.093930,0.235294,0.440043,0.987506,0.934789,0.681202,0.000000,0.949940,0.999754,0.682067,0.623513
folk_11::time_stretch::-20pct,0.833333,0.979784,0.974405,0.156526,0.000000,0.440043,0.953962,0.694350,0.612570,1.000000,0.905866,0.999459,0.697930,0.646987
folk_11::time_stretch::-5pct,1.000000,0.992339,0.982299,0.311702,0.142857,0.440043,1.000000,1.000000,0.747452,0.000000,0.963509,0.999852,0.708324,0.653653
folk_11::time_stretch::+5pct,1.000000,0.994997,0.985786,0.058817,0.235294,0.440043,0.987753,0.930139,0.746732,0.333333,0.930602,0.999798,0.712691,0.662191
folk_11::time_stretch::+10pct,1.000000,0.993976,0.983560,0.093930,0.235294,0.440043,0.987753,0.930139,0.698244,0.166667,0.916863,0.999753,0.695031,0.642377
folk_11::time_stretch::+20pct,1.000000,0.986208,0.958951,0.273835,0.222222,0.440043,0.976002,0.856389,0.612211,0.000000,0.865627,0.999383,0.669825,0.617293
