pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_07::style_swap::swap_cross,classical_07,classical,S,style_swap,nan,0.561467,0.441637,0.729005,0.652580,0.637741,0.730807,0.682690
classical_07::style_swap::swap_same,classical_07,classical,S,style_swap,nan,0.900928,0.479527,0.776503,0.634711,0.645236,0.700474,0.672288
classical_08::control::ctrl,classical_08,classical,control,control,0.0,1.000000,0.999999,1.000000,0.850615,1.000000,1.000000,1.000000
classical_08::pitch_shift::-4st,classical_08,classical,H,pitch_shift,-4.0,0.664641,0.515556,0.969442,0.704359,0.925558,0.973091,0.949027
classical_08::pitch_shift::-2st,classical_08,classical,H,pitch_shift,-2.0,0.587997,0.626644,0.971744,0.705016,0.949967,0.960982,0.955458
classical_08::pitch_shift::-1st,classical_08,classical,H,pitch_shift,-1.0,0.621717,0.742298,0.973566,0.794787,0.950673,0.968761,0.959675
classical_08::pitch_shift::+1st,classical_08,classical,H,pitch_shift,1.0,0.638426,0.714910,0.992626,0.807888,0.949959,0.971138,0.960490
classical_08::pitch_shift::+2st,classical_08,classical,H,pitch_shift,2.0,0.581754,0.619610,0.981229,0.766917,0.938550,0.964643,0.951507
classical_08::pitch_shift::+4st,classical_08,classical,H,pitch_shift,4.0,0.644201,0.475109,0.978376,0.785706,0.916399,0.969203,0.942431
classical_08::time_stretch::-20pct,classical_08,classical,R,time_stretch,-20.0,0.992931,0.816711,0.907733,0.828568,0.641598,0.985194,0.795046
classical_08::time_stretch::-10pct,classical_08,classical,R,time_stretch,-10.0,0.998571,0.876612,0.909192,0.829006,0.714596,0.987223,0.839920
classical_08::time_stretch::-5pct,classical_08,classical,R,time_stretch,-5.0,0.998955,0.835725,0.933794,0.844979,0.780634,0.991398,0.879726
classical_08::time_stretch::+5pct,classical_08,classical,R,time_stretch,5.0,0.998499,0.862341,0.945829,0.832922,0.780530,0.989284,0.878730
classical_08::time_stretch::+10pct,classical_08,classical,R,time_stretch,10.0,0.998927,0.886902,0.931894,0.814033,0.729786,0.988216,0.849227
classical_08::time_stretch::+20pct,classical_08,classical,R,time_stretch,20.0,0.997634,0.867187,0.913347,0.785418,0.670039,0.987398,0.813385
