pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_11::displacement::disp_far,0.833333,0.961329,0.845895,1.000000,0.000000,0.529330,0.985057,0.902341,0.287883,0.000000,0.555923,0.995209,0.624929,0.596639
folk_12::shuffle::shuf_beat,1.000000,0.988889,0.784517,0.469752,0.000000,0.000000,0.795961,0.000000,0.285167,0.000000,0.820178,0.999964,0.462195,0.372736
folk_12::control::ctrl,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.833333,0.800000
folk_12::shuffle::shuf_bar,1.000000,0.997575,0.793854,1.000000,0.000000,0.000000,0.875445,0.000000,0.280994,0.000000,0.963888,0.999991,0.535356,0.446063
folk_12::reverse::rev,1.000000,0.997126,0.756582,0.506619,0.000000,0.000000,1.000000,1.000000,0.299553,1.000000,0.677366,0.999970,0.656533,0.620301
folk_12::displacement::disp_near,0.833333,0.950804,0.958779,0.093930,0.000000,0.000000,0.899721,0.000000,0.411820,0.000000,0.519613,0.994239,0.437341,0.375602
folk_12::displacement::disp_far,1.000000,0.916487,0.836721,0.000155,0.000000,0.000000,1.000000,1.000000,0.340811,1.000000,0.295430,0.996419,0.579679,0.568018
folk_13::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_13::shuffle::shuf_beat,1.000000,0.997868,0.977912,0.156526,0.571429,0.626695,1.000000,1.000000,0.327991,1.000000,0.697967,0.999985,0.760994,0.743577
folk_13::shuffle::shuf_bar,1.000000,0.997695,0.976414,1.000000,0.000000,0.720021,1.000000,1.000000,0.407064,1.000000,0.939546,0.999997,0.820088,0.790187
folk_13::reverse::rev,1.000000,0.996563,0.977568,0.571607,0.000000,0.626695,0.934467,0.250743,0.385674,1.000000,0.850601,0.999999,0.692433,0.645946
