pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,cocola,cocola_h,cocola_p
rock_05::time_stretch::-10pct,rock_05,rock,time_stretch,-10.0,percent_tempo,54.51815414428711,47.73087692260742,54.27885818481445
rock_05::time_stretch::-5pct,rock_05,rock,time_stretch,-5.0,percent_tempo,51.26939010620117,46.80614471435547,51.49094009399414
rock_05::time_stretch::+5pct,rock_05,rock,time_stretch,5.0,percent_tempo,57.12434005737305,51.22944259643555,60.316001892089844
rock_05::time_stretch::+10pct,rock_05,rock,time_stretch,10.0,percent_tempo,55.6989860534668,56.79407501220703,59.04625701904297
rock_05::time_stretch::+20pct,rock_05,rock,time_stretch,20.0,percent_tempo,46.504451751708984,43.088924407958984,47.500267028808594
rock_05::lowpass::lp8000,rock_05,rock,lowpass,8000.0,hz_cutoff,70.94279479980469,66.49224090576172,71.05460357666016
rock_05::lowpass::lp4000,rock_05,rock,lowpass,4000.0,hz_cutoff,72.84844207763672,68.59989929199219,75.88760375976562
rock_05::lowpass::lp2000,rock_05,rock,lowpass,2000.0,hz_cutoff,71.67674255371094,66.62057495117188,74.57025909423828
rock_05::distortion::drv4,rock_05,rock,distortion,4.0,tanh_drive,70.62339782714844,68.07535552978516,74.0697021484375
rock_05::distortion::drv12,rock_05,rock,distortion,12.0,tanh_drive,69.43656921386719,66.92457580566406,72.78853607177734
rock_05::distortion::drv32,rock_05,rock,distortion,32.0,tanh_drive,69.64241027832031,64.40970611572266,72.43907165527344
rock_05::style_swap::swap_cross,rock_05,rock,style_swap,nan,cross_genre,58.10362243652344,57.26081848144531,59.7230339050293
rock_05::style_swap::swap_same,rock_05,rock,style_swap,nan,same_genre,53.336090087890625,60.97004318237305,50.12807083129883
rock_06::control::ctrl,rock_06,rock,control,0.0,none,71.79585266113281,72.9375,70.42938995361328
rock_06::pitch_shift::-4st,rock_06,rock,pitch_shift,-4.0,semitones,66.87382507324219,65.66605377197266,65.11719512939453
rock_06::pitch_shift::-2st,rock_06,rock,pitch_shift,-2.0,semitones,68.03777313232422,67.6109848022461,64.89234924316406
rock_06::pitch_shift::-1st,rock_06,rock,pitch_shift,-1.0,semitones,67.19757843017578,66.11529541015625,65.3497085571289
rock_06::pitch_shift::+1st,rock_06,rock,pitch_shift,1.0,semitones,65.66414642333984,65.8126220703125,64.26734924316406
rock_06::pitch_shift::+2st,rock_06,rock,pitch_shift,2.0,semitones,69.563720703125,71.16412353515625,68.05767059326172
rock_06::pitch_shift::+4st,rock_06,rock,pitch_shift,4.0,semitones,66.65406799316406,68.20537567138672,66.71524047851562
rock_06::time_stretch::-20pct,rock_06,rock,time_stretch,-20.0,percent_tempo,58.437255859375,62.20594024658203,56.5969352722168
rock_06::time_stretch::-10pct,rock_06,rock,time_stretch,-10.0,percent_tempo,57.71277618408203,57.641998291015625,56.343894958496094
rock_06::time_stretch::-5pct,rock_06,rock,time_stretch,-5.0,percent_tempo,60.86613464355469,61.93424987792969,58.345542907714844
rock_06::time_stretch::+5pct,rock_06,rock,time_stretch,5.0,percent_tempo,61.25981521606445,63.933250427246094,63.579689025878906
rock_06::time_stretch::+10pct,rock_06,rock,time_stretch,10.0,percent_tempo,56.815208435058594,57.002662658691406,57.23632049560547
rock_06::time_stretch::+20pct,rock_06,rock,time_stretch,20.0,percent_tempo,52.49091720581055,52.80885314941406,56.19139862060547
rock_06::lowpass::lp8000,rock_06,rock,lowpass,8000.0,hz_cutoff,71.79148864746094,72.9365005493164,70.21586608886719
rock_06::lowpass::lp4000,rock_06,rock,lowpass,4000.0,hz_cutoff,72.11446380615234,71.99451446533203,73.34453582763672
rock_06::lowpass::lp2000,rock_06,rock,lowpass,2000.0,hz_cutoff,71.1376953125,70.43119812011719,72.94290161132812
rock_06::distortion::drv4,rock_06,rock,distortion,4.0,tanh_drive,71.83447265625,72.26927185058594,72.54527282714844
rock_06::distortion::drv12,rock_06,rock,distortion,12.0,tanh_drive,71.4858169555664,71.30210876464844,73.66094970703125
rock_06::distortion::drv32,rock_06,rock,distortion,32.0,tanh_drive,70.5208969116211,68.79763793945312,73.37042236328125
rock_06::style_swap::swap_cross,rock_06,rock,style_swap,nan,cross_genre,61.69091796875,58.61376953125,63.61686706542969
rock_06::style_swap::swap_same,rock_06,rock,style_swap,nan,same_genre,59.501644134521484,57.59711456298828,57.84820556640625
rock_07::control::ctrl,rock_07,rock,control,0.0,none,70.3762435913086,75.12567901611328,69.99578857421875
